ID;Nama;Latitude;Longitude;Alamat;Telp;
1;PT. Bentoel Distribusi Utama;-7.998956;112.626938;Jl. Janti Sel., Ciptomulyo, Kec. Sukun, Kota Malang, Jawa Timur 65148;(0341) 490000;
2;PR Delapan Wijaya;-7.982705996305772;112.60651485421664;Jl. Raya Bandulan No.92, Bandulan, Kec. Sukun, Kota Malang, Jawa Timur 65146;(0341) 791621;
3;PT Gandum;-7.983346921424819;112.59993335236800;Jl. Mulyosari No.9, Mulyorejo, Kec. Sukun, Kota Malang, Jawa Timur 65147;(0341) 569401;
4;PT Ongkowidjojo;-7.997145655352994;112.63241306771023;Jl. Kolonel Sugiono No.83, Gadang, Kec. Sukun, Kota Malang, Jawa Timur 65118;(0341) 352526;
5;PT Kompas Agung;-8.018540763353746;112.61976602353278;Jl. S Supriyadi No. 170 A;(0341) 801762;
6;CV Filma Malang;-7.922056206816055;112.59602663887412;Jl. Raya Tlogomas No.33, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144;(0341) 462242;
7;PT Gerbangjaya Lestari;-7.982673746552539;112.60682664072317;Jl. Bandulan Bar. No.202, Bandulan, Kec. Sukun, Kota Malang, Jawa Timur 65146;(0341) 562172;
8;Jagung Putra;-7.983637120921704;112.65926905421668;Jl. Raya Ki Ageng Gribig No.211, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65138;;
9;Karya Kita Abadi;-7.987711698385707; 112.65286371003906;Kedungkandang, Kec. Kedungkandang, Kota Malang, Jawa Timur 65137;(0341) 502301;
10;PT. HM Sampoerna Tbk;-7.952428604172998;112.63917212353223;Jl. Letjend S. Parman No.44, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126;(0341) 406234;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
